Name,Vendor,Cost,Link
Touch Display, Waveshare, $24.99, https://www.waveshare.com/product/raspberry-pi/3.5inch-rpi-lcd-c.htm
M3 Screw Assortment Kit, Amazon, $8.99, https://www.amazon.com/gp/product/B0D1XJ766V/ref=ox_sc_act_title_1?smid=AU4U01987UNZX&psc=1
HDMI Male to Female Flat Cable, Amazon, $7.59, https://www.amazon.com/gp/product/B09F61FZWQ/ref=ox_sc_act_title_2?smid=A13KR3FLHKYL23&psc=1
2 pin Switches, Amazon, $7.59, https://www.amazon.com/gp/product/B0F6SN6V9B/ref=ox_sc_act_title_3?smid=A2K7ZZEIF97PLN&psc=1
Heatsink, Amazon, $8.63, https://www.amazon.com/gp/product/B09VFHJF85/ref=ox_sc_act_title_4?smid=A3B0XDFTVR980O&psc=1
On Off SWitch, Amazon, $6.11, https://www.amazon.com/gp/product/B0CRTPY88B/ref=ox_sc_act_title_5?smid=A3DGS5363V8GMZ&psc=1
Raspberry Pi Zero W 2 with Headers, Micro Center, $17.99, https://www.microcenter.com/product/683270/Raspberry_Pi_Zero_W_2_with_Headers
50 ft. 30AWG Silicone Cover Stranded-Core Wire, Micro Center, $4.99, https://www.microcenter.com/product/471495/50_ft_30AWG_Silicone_Cover_Stranded-Core_Wire_-_Red
Lithium Ion Battery - 3.7v 2000mAh, Micro Center, $9.96, https://www.microcenter.com/product/503621/Lithium_Ion_Battery_-_37v_2000mAh
MicroSD with Adapter, Micro Center, $4.99, https://www.microcenter.com/product/658767/64GB_Ultra_microSDXC_Class_10_Flash_Memory_Card_with_Adapter
PowerBoost 1000 Charger, Micro Center, $19.99, https://www.microcenter.com/product/474415/PowerBoost_1000_Charger_-_Rechargeable_5V_Lipo_USB_Boost_@_1A
Shipping Total, Waveshare, $15, ________
Shipping Total, Amazon, $0, ___________
Shipping Total, MicroCenter, $10, __________
Total, All Places , $146.82, ________-
Final Costs with Tax Estimation,All Places , $149, ___
